video_key,url_norm,local_video_path,has_video,download_status,attempts_used,error_message,fps_out,frame_count_out,video_width_out,video_height_out,duration_sec_out
pAoM56DCisM,https://www.youtube.com/watch?v=pAoM56DCisM,MS-ASL/videos_MS-ASL/msasl_raw_pAoM56DCisM.mp4,True,already_exists,0,,29.97002997002997,79.0,640.0,360.0,2.6359666666666666
N2mG9ZKjrGA,https://www.youtube.com/watch?v=N2mG9ZKjrGA,MS-ASL/videos_MS-ASL/msasl_raw_N2mG9ZKjrGA.mp4,True,already_exists,0,,29.97002997002997,77.0,640.0,360.0,2.5692333333333335
HPz_C5XM4o4,https://www.youtube.com/watch?v=HPz_C5XM4o4,MS-ASL/videos_MS-ASL/msasl_raw_HPz_C5XM4o4.mp4,True,already_exists,0,,29.65103384878455,205.0,640.0,360.0,6.913755555555555
I_QDeKcyvns,https://www.youtube.com/watch?v=I_QDeKcyvns,MS-ASL/videos_MS-ASL/msasl_raw_I_QDeKcyvns.mp4,True,already_exists,0,,29.97002997002997,115.0,640.0,360.0,3.8371666666666666
C37R_Ix8-qs,https://www.youtube.com/watch?v=C37R_Ix8-qs,MS-ASL/videos_MS-ASL/msasl_raw_C37R_Ix8-qs.mp4,True,already_exists,0,,30.0,85.0,640.0,360.0,2.8333333333333335
CYx7qm62Zwo,https://www.youtube.com/watch?v=CYx7qm62Zwo,MS-ASL/videos_MS-ASL/msasl_raw_CYx7qm62Zwo.mp4,True,already_exists,0,,25.0,72.0,640.0,360.0,2.88
_HOx2QkkTsg,https://www.youtube.com/watch?v=_HOx2QkkTsg,MS-ASL/videos_MS-ASL/msasl_raw__HOx2QkkTsg.mp4,True,already_exists,0,,29.970238095238095,1007.0,480.0,360.0,33.6
WeAFuzYTdtU,https://www.youtube.com/watch?v=WeAFuzYTdtU,MS-ASL/videos_MS-ASL/msasl_raw_WeAFuzYTdtU.mp4,True,already_exists,0,,29.9704972296179,833.0,480.0,360.0,27.794
PIsUJl8BN_I,https://www.youtube.com/watch?v=PIsUJl8BN_I,MS-ASL/videos_MS-ASL/msasl_raw_PIsUJl8BN_I.mp4,True,already_exists,0,,25.0,76.0,480.0,360.0,3.04
7G6B6kaMjb4,https://www.youtube.com/watch?v=7G6B6kaMjb4,MS-ASL/videos_MS-ASL/msasl_raw_7G6B6kaMjb4.mp4,True,already_exists,0,,25.0,51.0,480.0,360.0,2.04
