video_id,url,url_type,output_path,status,error
07094,http://www.aslpro.com/main/b/book_photography.swf,skip,kaggle_dataset/videos/07094.mp4,skipped,Non-downloadable URL type (e.g. .swf or .html)
07098,http://www.aslpro.com/main/b/book_trigonometry.swf,skip,kaggle_dataset/videos/07098.mp4,skipped,Non-downloadable URL type (e.g. .swf or .html)
07081,http://www.aslpro.com/main/b/book_art.swf,skip,kaggle_dataset/videos/07081.mp4,skipped,Non-downloadable URL type (e.g. .swf or .html)
07080,http://www.aslpro.com/main/b/book_art_history.swf,skip,kaggle_dataset/videos/07080.mp4,skipped,Non-downloadable URL type (e.g. .swf or .html)
07079,http://www.aslpro.com/main/b/book_anatomy.swf,skip,kaggle_dataset/videos/07079.mp4,skipped,Non-downloadable URL type (e.g. .swf or .html)
70212,https://www.youtube.com/watch?v=hjS0dQDgbjo,youtube,kaggle_dataset/videos/70212.mp4,already_exists,
69241,http://aslbricks.org/New/ASL-Videos/book.mp4,direct,kaggle_dataset/videos/69241.mp4,already_exists,
07078,http://www.aslpro.com/main/b/book_algebra.swf,skip,kaggle_dataset/videos/07078.mp4,skipped,Non-downloadable URL type (e.g. .swf or .html)
07089,http://www.aslpro.com/main/b/book_law.swf,skip,kaggle_dataset/videos/07089.mp4,skipped,Non-downloadable URL type (e.g. .swf or .html)
07077,http://www.aslpro.com/main/b/book_accounting.swf,skip,kaggle_dataset/videos/07077.mp4,skipped,Non-downloadable URL type (e.g. .swf or .html)
07076,https://www.youtube.com/watch?v=XjWSfh50kAU,youtube,kaggle_dataset/videos/07076.mp4,already_exists,
07069,https://signstock.blob.core.windows.net/signschool/videos/SignSchool%20Book.mp4,direct,kaggle_dataset/videos/07069.mp4,already_exists,
07075,https://www.youtube.com/watch?v=Kwvw-K6GYW8,youtube,kaggle_dataset/videos/07075.mp4,already_exists,
07091,http://www.aslpro.com/main/b/book_math.swf,skip,kaggle_dataset/videos/07091.mp4,skipped,Non-downloadable URL type (e.g. .swf or .html)
07097,http://www.aslpro.com/main/b/book.swf,skip,kaggle_dataset/videos/07097.mp4,skipped,Non-downloadable URL type (e.g. .swf or .html)
68011,https://www.youtube.com/watch?v=0UsjUE-TXns,youtube,kaggle_dataset/videos/68011.mp4,already_exists,
70266,https://www.youtube.com/watch?v=WGfiiDgrq1I,youtube,kaggle_dataset/videos/70266.mp4,already_exists,
